Unit,SIO #,Topic,SIO Description,Flashcard Set,Front side,Back side (flipped),Overview columns,Letris / Notes,CEFR Mode,Can-Do (A1),Linguistic competence (measurable)
Unité 2,SIO-027,Time — when I do it,"Say when one does something: le lundi, le week-end, tous les jours/soirs/matins, à + time (à 8 heures, à midi, à minuit)",2.07,~10 cards — English time cue (e.g. 'on Mondays' / 'every evening' / 'at 8am'),"French time expression
(e.g. le lundi / tous les soirs / à 8 heures / le week-end)",1: French phrase | 2: English | 3: Type: day/frequency/clock | 4: Notes,3 baskets: jour / fréquence / heure,Spoken Production,I can say when I do my regular activities.,"Use le + day, le week-end, tous les…, and à + time for ≥5 prompts; sort into day/frequency/clock."
Unité 2,SIO-028,Négation — pas de ou pas le ?,"Use ne … pas with the right article family: pas de/d' after faire, il y a and quantities (Je ne fais pas de tennis. / Il n'y a pas d'eau.), but keep le/la/les after aimer, adorer, détester (Je n'aime pas le tennis.)",2.08,"~10 cards in pairs — English cue
(e.g. 🎾 'I don't play tennis' vs 'I don't like tennis')","French pair showing the article shift
(e.g. Je ne fais pas de tennis. / Je n'aime pas le tennis.
☕ Il n'y a pas de café. / Je n'aime pas le café.)",1: French sentence | 2: English | 3: Verb: faire / il y a / aimer | 4: pas de or pas le | 5: Notes,"2 baskets: pas de/d' (faire, il y a, quantities) / pas le-la-les (aimer, adorer, détester)",Spoken Production,I can say what I don't do and what I don't like.,"use ne … pas de after faire/il y a and quantities, but keep le/la/les after aimer, adorer and détester"
Unité 2,SIO-025,pourquoi ? parce que,Ask and answer why: Pourquoi ? → parce que c'est + adjective or parce que j'aime + N,2.05,"~6 cards — English Q+A cue
(e.g. 'Why do you like sport? — because it's fun')",Pourquoi ? — Parce que c'est amusant. / Parce que j'aime le sport.,1: Question cue | 2: French answer | 3: English | 4: Notes,No baskets,Spoken Interaction,I can ask why and give a simple reason for a preference.,Answer Pourquoi ? with parce que c'est + adjective or parce que j'aime + N for ≥3 prompts.
Unité 2,SIO-029,"vouloir — invite, accept, refuse, reschedule","Use vouloir to invite (Tu veux venir ?), accept (Je veux bien !), refuse (Je ne peux pas), reschedule (On peut se voir samedi ?)",2.09,"~8 cards — situation label
(e.g. 'Invite a friend' / 'Decline politely' / 'Suggest another time')","French phrase by function
(e.g. Tu veux venir au cinéma ?
/ Je veux bien !
/ Désolé(e), je ne peux pas.
/ On peut se voir samedi ?)",1: French phrase | 2: English | 3: Function: inviter/accepter/refuser/reporter | 4: Notes,4 baskets: inviter / accepter / refuser / reporter,Spoken Interaction,"I can invite someone and accept, refuse, or suggest another time, using set phrases.",Use vouloir/pouvoir to perform all 4 functions (inviter/accepter/refuser/reporter) in a short dialogue.
Unité 2,SIO-030,Well wishes + connectors for a short email,"Produce well-wish formulas (Bon anniversaire!, Bonne chance!, Bon voyage!, Bonne année!, Bonne fête!); use connectors in a short holiday email (d'abord, ensuite, aussi, mais, et, enfin)",2.10,"Two card types:
① Well wishes (~6 cards) — occasion/emoji (e.g. 🎂 / ✈️ / 🎉)
② Connectors (~5 cards) — English connector (e.g. 'first of all' / 'then' / 'but')","① French wish phrase (e.g. Bon anniversaire ! / Bon voyage !)
② French connector (e.g. d'abord / ensuite / mais)",1: French phrase | 2: English | 3: Type: vœu or connecteur | 4: Notes,"No baskets for wishes · Connectors: ordering activity
⚠️ Email production itself = no flashcard",Written Production,"I can write a short, friendly message with good wishes and simple linking words, if I can prepare.",Produce well-wish formulas; write a 4–6 sentence email using ≥3 connectors (d'abord/ensuite/aussi/mais/et/enfin) correctly.
Unité 3,SIO-031,Weather,"Describe weather: Il fait beau/chaud/froid/mauvais, il pleut, il neige, il y a du vent/du soleil/des nuages; ask Quel temps fait-il ?",3.01,~10 cards — weather icon/emoji (e.g. ☀️ / 🌧️ / ❄️ / 💨 / ⛅),"French weather phrase + TTS
(e.g. Il fait beau. / Il pleut. / Il y a du vent. / Il neige.)",1: Icon | 2: French phrase | 3: English | 4: Notes,No baskets,Spoken Interaction,I can talk about and ask about today's weather in simple terms.,Describe the weather with ≥6 expressions (≥80%); ask Quel temps fait-il ?
Unité 3,SIO-032,en / au / aux / à — prepositions for cities & countries,"Use en/au/aux/à with être, aller, venir for location and movement (Je suis en France. / Je vais au Japon. / Elle vient des États-Unis.)",3.02,~10 cards — country/flag + English cue (e.g. 'I am in France' / 'She comes from Japan'),"French phrase with correct preposition
(e.g. Je suis en France. / Je vais au Japon. / Elle vient des États-Unis.)",1: French phrase | 2: English | 3: Preposition | 4: Country article | 5: Notes,4 baskets: en / au / aux / à,Spoken Production,"I can say which country I am in, going to, or coming from.",Use en/au/aux/à with être/aller/venir in ≥6 sentences (≥80%).
Unité 3,SIO-033,Places in town,Use être/aller/venir + article contraction for town places (Je suis au café. / Je vais à la pharmacie. / Il vient du marché.),3.03,~10 cards — place icon + English (e.g. 🏥 / 🏦 / 🛒),"French phrase with article contraction
(e.g. Je vais à la pharmacie. / Il est au marché. / Elle vient de l'hôpital.)",1: Icon | 2: French phrase | 3: English | 4: Article contraction | 5: Notes,4 baskets: au / à la / à l' / aux,Spoken Production,"I can say where I am, where I am going, and where I am coming from around town.","Use être/aller/venir + contraction (au/à la/à l'/aux, du/de la/de l') in ≥6 sentences (≥80%)."
Unité 3,SIO-034,Locating places + article contraction,"Locate places using spatial prepositions + article contraction: à côté du/de la/de l', en face du/de la, près du/de la, loin du/de la",3.04,~8 cards — simple diagram or English cue (e.g. 'next to the bakery' / 'opposite the park'),"French phrase with preposition + article contraction
(e.g. C'est à côté de la boulangerie. / C'est en face du parc.)",1: Diagram | 2: French phrase | 3: English | 4: Preposition | 5: Article contraction | 6: Notes,No baskets — visual matching format,Spoken Production,I can say where a place is in relation to another one.,"Use the spatial prepositions (à côté de, en face de, près de, loin de) + correct contraction for ≥4 prompts."
Unité 3,SIO-035,Yes/no and open-ended questions,"Form yes/no questions with Est-ce que…? and intonation; form open-ended questions with Où, Quand, Comment, Pourquoi, Qu'est-ce que, Qui, Combien de",3.05,~10 cards — English question (e.g. 'Do you like sport?' / 'Where do you live?'),"French question using the target structure
(e.g. Est-ce que tu aimes le sport ? / Où est-ce que tu habites ?)",1: French question | 2: English | 3: Type: oui/non or ouvert | 4: Question word | 5: Notes,2 baskets: oui/non / question ouverte,Spoken Interaction,I can ask simple yes/no and open questions to get the information I need.,Form a yes/no question with Est-ce que…?; form an open question with each of the 7 question words (≥80%).
Unité 3,SIO-036,Directions + ordinal numbers,"Ask for and give directions without the imperative, producing vous + present and c'est + preposition (Vous allez tout droit. / Vous tournez à gauche. / Vous prenez la première rue à droite. / C'est au bout de la rue.), and understanding the il faut + infinitive and on + present variants met in the reading texts; use the ordinals première and deuxième in street directions",3.06,"~12 cards — direction arrow icon + English cue
(e.g. '↑ It's straight ahead' / '← You have to turn left' / '🏠 1st floor')","French phrase (no imperative)
(e.g. C'est tout droit. / Il faut tourner à gauche. / On prend la deuxième rue à droite. / C'est au premier étage.)",1: Direction icon | 2: French phrase | 3: English | 4: Ordinal used | 5: Notes,"4 baskets: tout droit / à gauche / à droite / il faut + inf.
Ordinal numbers integrated into direction cues",Spoken Interaction,"I can ask for and give simple directions to a place, without using commands.","Give directions with vous + present / c'est + preposition (no imperative), understanding il faut + infinitive / on + present variants; use the ordinals première and deuxième correctly in ≥4 prompts (≥80%)."
Unité 3,SIO-037,pouvoir — what one can do (+ where),Use pouvoir + infinitive for possibility and permission; conjugate across key persons; say what can be done in a place (On peut visiter le musée. / Je peux manger ici ? / Vous pouvez vous garer ici.),3.07,"~8 cards — English cue
(e.g. 'Can I eat here?' / 'You can visit the museum' / 'We can walk around')","French phrase with pouvoir
(e.g. Je peux manger ici ? / On peut visiter le musée. / Tu peux te garer là.)",1: French phrase | 2: English | 3: Subject | 4: Infinitive | 5: Notes,No baskets — focus on pouvoir conjugation + infinitive,Spoken Interaction,I can say what is possible or allowed in a place and ask for permission.,Conjugate pouvoir (key persons); produce ≥3 on peut / je peux / vous pouvez + infinitive statements.
Unité 3,SIO-038,"Getting around — en train, à vélo (+ y)",Ask how one gets somewhere (Comment tu vas à l'école ?); answer with prendre + mode of transport; use pronoun y (J'y vais en bus. / On y va ? / Je prends le métro.),3.08,"~10 cards — transport emoji + English
(e.g. 🚌 by bus / ✈️ by plane / 🚇 by metro / 'Let's go there!')","French phrase with prendre or y
(e.g. Je prends le bus. / J'y vais en métro. / On y va ? / Elle prend l'avion.)",1: Emoji | 2: French phrase | 3: English | 4: Structure: prendre or y | 5: Notes,3 baskets: le / la / l' (for prendre + transport article),Spoken Interaction,I can ask how someone travels somewhere and say how I get there.,Ask Comment tu vas à…?; answer with prendre + transport; use the pronoun y in ≥3 sentences.
Unité 3,SIO-039,Wants and needs,"Express wants and needs using je voudrais, j'aimerais, j'ai envie de, j'ai besoin de, je veux + noun or infinitive",3.09,"~8 cards — English cue
(e.g. 'I would like a coffee' / 'I need a hotel' / 'I want to visit Paris')","French phrase by frame
(e.g. Je voudrais un café. / J'ai besoin d'un hôtel. / J'aimerais visiter Paris. / Je veux partir en vacances.)",1: French phrase | 2: English | 3: Frame: voudrais/aimerais/besoin de/veux | 4: Notes,4 baskets: voudrais / aimerais / besoin de / veux,Spoken Interaction,I can express what I want and need politely.,Use je voudrais / j'aimerais / j'ai besoin de / je veux + noun or infinitive (all 4).
Unité 3,SIO-040,Describe itinerary steps with connectors,"Describe the steps for arriving somewhere using d'abord, puis, ensuite, après, enfin/finalement, giving each step in the present tense with an explicit subject (D'abord, tu prends la première rue à droite. Ensuite, tu vas tout droit. — no imperative); combine with transport and direction vocabulary",3.10,"~6 cards — English cue for one itinerary step
(e.g. 'First, you take the metro' / 'Then you turn left' / 'Finally it's on the right')","Representative itinerary model sentences (assemble in order, no imperative)
D'abord, on prend le métro ligne 1.
Puis, il faut descendre à Châtelet.
Ensuite, on tourne à gauche.
Après, c'est tout droit.
Enfin, c'est la deuxième rue à droite.",1: French model sentence | 2: English | 3: Connector | 4: Sequence position | 5: Notes,5-step ordering activity: d'abord → puis → ensuite → après → enfin,Spoken Production,"I can explain step by step how to get somewhere, linking the steps in order.","Describe ≥4 ordered steps using d'abord/puis/ensuite/après/enfin, each step in the present tense with an explicit subject (no imperative), with transport + direction vocabulary."
Unité 4,SIO-041,Aliments + meals,"Name meals (petit-déjeuner, déjeuner, goûter, dîner) and common foods/drinks at each; say what one eats/drinks",4.01,~12 cards — food emoji or meal icon (e.g. 🥐 / 🍽️ / ☕),"French noun with article / meal name
(e.g. un croissant / le déjeuner / du café / une pomme)",1: Emoji | 2: French (with article) | 3: English | 4: Meal association | 5: Notes,3 baskets: petit-déjeuner / déjeuner / dîner,Spoken Production,I can say what I eat and drink at each meal.,Name the 4 meals and ≥2 foods/drinks each; say what I eat/drink (≥80%).
Unité 4,SIO-042,Partitives + manger/boire,Distinguish liking (J'aime le pain — défini) from consuming (Je mange du pain — partitif); use du/de la/de l'/des with food verbs; switch to de/d' after a negative (Je ne mange pas de viande. / Il ne boit pas d'alcool.); conjugate manger and boire across all persons,4.02,"~12 cards in three strands — English cue
(e.g. 'I like bread' vs 'I eat bread' · 'I don't eat meat' · 'she / drinks / water')","French showing the article or the form
(e.g. J'aime le pain. → Je mange du pain.
Je mange de la viande. → Je ne mange pas de viande.
Elle boit de l'eau. / Nous mangeons des pâtes.)",1: French | 2: English | 3: Strand: défini vs partitif / négatif / conjugaison | 4: Article or form | 5: Notes,3 baskets: défini (le/la/les) / partitif (du/de la/de l'/des) / négatif (de/d'),Spoken Production,I can talk about what I eat and drink — and what I don't — using the right articles.,Choose definite vs partitive correctly in ≥8 prompts (≥80%); rewrite ≥5 negatives with de/d'; conjugate manger and boire (≥7/8 each).
Unité 4,SIO-043,Frequency adverbs,"Describe habits using toujours, souvent, parfois, rarement, (ne…) jamais; place adverb correctly after the verb",4.03,"~5 cards — frequency scale bar + English
(e.g. ████ always → toujours / ░░░░ never → jamais)","French adverb + example sentence
(e.g. toujours / Il boit toujours du café le matin.)",1: French adverb | 2: English | 3: Scale (%) | 4: Example sentence | 5: Notes,5-card ordering activity: toujours → souvent → parfois → rarement → jamais; adverb sits after the verb,Spoken Production,I can say how often I do everyday things.,Place the 5 frequency adverbs correctly relative to the verb in ≥5 sentences; order them on a frequency scale.
Unité 4,SIO-044,"Commerces — shopping, and the market exchange","Identify food shops (boulangerie, épicerie, boucherie, marché, supermarché); say where one shops; ask Combien ça coûte ? / Je voudrais ___, s'il vous plaît. Play both sides of a market exchange and know who says what: Je voudrais 2 kilos de pommes de terre. / Et avec ceci ? / Ça fait combien ? / C'est tout, merci ! / Ça fait 5,89 €.",4.04,"~10 shop cards — icon + English (e.g. 🥖 bakery / 🥩 butcher / 🐟 fishmonger)
plus ~8 exchange cards — English line + who says it","French shop name + what it sells, or the French line
(e.g. une boulangerie — du pain, des croissants
🍎 Je voudrais deux kilos de pommes. — le client
➕ Et avec ceci ? — le marchand)","1: Icon | 2: French | 3: English | 4: Products sold, or le marchand / le client | 5: Notes","2 baskets: un / une for the shops; then order the exchange from Bonjour, vous désirez ? to Voici votre monnaie.",Spoken Interaction,"I can shop for food, ask the price, ask for what I want politely, and handle a simple market exchange on either side of the stall.","Match ≥5 shops to what they sell; say where I shop; ask Combien ça coûte ? / Je voudrais ___, s'il vous plaît; assign each line of a market dialogue to le marchand or le client, put the exchange in order, and produce Je voudrais…, Ça fait combien ?, Et avec ceci ?"
Unité 4,SIO-045A,Numbers 70–99,Understand and produce the numbers 70–99 — the soixante-dix and quatre-vingt system needed to handle real market prices: Ça fait quatre-vingt-cinq euros.,4.05A,"~10 cards — the numeral (e.g. 70 / 85 / 91 / 99)
plus market price tags (e.g. 🏷️ 5,89 €)","French number written out
(e.g. soixante-dix / quatre-vingt-cinq / quatre-vingt-onze / quatre-vingt-dix-neuf)",1: Numeral | 2: French | 3: Built from: 60+10 / 4×20 / 4×20+10 | 4: Ça fait ___ euros. | 5: Notes,3 baskets: soixante-dix… (60+10) / quatre-vingt… (4×20) / quatre-vingt-dix… (4×20+10),Spoken Interaction,"I can say and understand the numbers from 70 to 99, including in prices.","Count 70–99 following the soixante-dix / quatre-vingts patterns, and use them in market prices (Ça fait … euros)."
Unité 4,SIO-046,Demonstratives,"Use ce/cet/cette/ces; apply correct form by gender and number (ce pain, cet ananas, cette tarte, ces légumes)",4.06,"~8 cards — noun + English with gender/number label
(e.g. 'this bread (m)' / 'this pineapple (m+vowel)' / 'these vegetables (pl)')","French demonstrative + noun
(e.g. ce pain / cet ananas / cette tarte / ces légumes)",1: French phrase | 2: English | 3: Gender/number | 4: Form (ce/cet/cette/ces) | 5: Notes,4 baskets: ce / cet / cette / ces,Spoken Production,I can point out specific items (this/these) when shopping or ordering.,Select ce/cet/cette/ces correctly by gender/number for ≥8 nouns (≥80%).
Unité 4,SIO-047,Making plans — aller + infinitif,"Talk about plans with the futur proche: aller + infinitive across all persons (Je vais manger. / Nous allons visiter le marché.); say what you are going to do today, this weekend, after class",4.07,"~8 cards — English cue with the person
(e.g. 'I'm going to do sport' / 'we're going to visit the market')","French futur proche — aller conjugated + infinitive
(e.g. Je vais faire du sport. / Nous allons visiter le marché. / Ils vont réserver pour huit heures.)",1: French sentence | 2: English | 3: Person | 4: Form of aller | 5: Infinitive,6 baskets by person: je vais / tu vas / il-elle va / nous allons / vous allez / ils-elles vont,Spoken Production,I can say what I am going to do.,Produce ≥5 futur-proche sentences with correctly conjugated aller + infinitive.
Unité 4,SIO-048,Giving advice — devoir / falloir / pouvoir,"Give simple advice with tu dois + inf (personal obligation), il faut + inf (general necessity) and tu peux + inf (suggestion): Tu dois dormir plus. / Il faut manger des légumes. / Tu peux prendre le bus.",4.08,"~9 cards — English cue with the function
(e.g. 'suggestion: you can taste' / 'obligation: you must eat vegetables' / 'general rule: one must drink water')","French advice with the matching structure
(e.g. Tu peux goûter. / Tu dois manger des légumes. / Il faut boire de l'eau.)",1: French phrase | 2: English | 3: Structure: pouvoir / devoir / falloir | 4: Function: suggestion / personal obligation / general necessity | 5: Notes,3 baskets: pouvoir (tu peux) / devoir (tu dois) / falloir (il faut),Spoken Production,"I can give simple advice about food, health and daily life.",Give ≥5 pieces of advice using devoir/falloir/pouvoir + infinitive with correct forms.
Unité 4,SIO-049,Reviewing a restaurant,Give a simple restaurant review with positive and negative points (C'est délicieux ! / Le service est lent. / C'est trop cher mais c'est bon. / Je recommande / Je ne recommande pas.),4.09,"~8 cards — evaluation cue
(e.g. '👍 delicious food' / '👎 slow service' / '💰 too expensive')","French evaluation phrase
(e.g. C'est délicieux ! / Le service est lent.
/ C'est trop cher mais c'est bon.
/ Je recommande ce restaurant !)",1: French phrase | 2: English | 3: + or − | 4: Notes,2 baskets: positif / négatif,Spoken Production,"I can give a simple opinion about a restaurant, mentioning good and bad points.","State ≥1 positive point, ≥1 negative point, and a clear recommendation (Je recommande / Je ne recommande pas)."
Unité 4,SIO-050,Role-play: restaurant scene,"Role-play a complete restaurant interaction: greet the waiter, read the menu, order (entrée/plat/boisson/dessert), interact during the meal, ask for the bill, pay and say goodbye",4.10,,,,⛔ Production/spoken task — no flashcard,Spoken Interaction,"I can get by in a simple restaurant visit from arrival to paying, using set phrases, as long as staff are patient.","Complete all 6 steps: greet, read the menu, order (entrée/plat/boisson/dessert), interact, ask for the bill, pay and say goodbye."
